"id"	"Lib151Humandendritic0hrLPSrep1_IP"	"Lib151Humandendritic0hrLPSrep2_IP"	"Lib151Humandendritic0hrLPSrep3_IP"	"Lib151Humandendritic3hrLPSrep1_IP"	"Lib151Humandendritic3hrLPSrep2_IP"	"Lib151Humandendritic3hrLPSrep3_IP"	"Lib151Humandendritic6hrLPSrep1_IP"	"Lib151Humandendritic6hrLPSrep2_IP"	"Lib151Humandendritic6hrLPSrep3_IP"	"geneSymbol"	"name"	"desc"	"txLength"
2893	0	0	0	0	0	0	0	0	0	"Mir3060"	"uc011xqu.1"	"Mus musculus microRNA 3060 (Mir3060), microRNA."	83
2894	41.01	40.14	46.72	14.01	18.23	13	24	16.21	13.14	"Ccdc157"	"uc007hum.1"	"coiled-coil domain-containing protein 157"	5016
2895	1140.01	724	716	382	448	398	469	407	492	"Sf3a1"	"uc007hup.2"	"splicing factor 3A subunit 1"	4916
2896	550	432	516	247	310	242	336	345	313	"Tbc1d10a"	"uc007huq.1"	"TBC1 domain family member 10A"	1913
2897	80	73	71	13	33	34	24	15	14	"Gatsl3"	"uc007hur.1"	"GATS-like protein 3"	1548
2898	205	222.02	214	732.99	572	537	565	596	575	"Osm"	"uc007hus.2"	"oncostatin-M precursor"	1907
2899	20.02	9	8	308.01	162.01	156	85	79.58	66	"Lif"	"uc007hut.1"	"leukemia inhibitory factor isoform a"	4015
2900	0	0	0	0	0	0	0	0	0	"Hormad2"	"uc007huv.1"	"HORMA domain-containing protein 2"	1343
2901	1929	1261	1287	580	694.07	585	1074	856	878	"Mtmr3"	"uc007hux.1"	"myotubularin-related protein 3"	5674
2902	0	0	0	0	0	0	0	0	0	"Gm11961"	"uc007huz.1"	"Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930010I02 product:hypothetical protein, full insert sequence."	1319
2903	683	499.08	460	306	401	396	460	366	421	"Ascc2"	"uc007hva.1"	"activating signal cointegrator 1 complex subunit"	2604
2904	2905	2712	3217.03	1860	1878	2046	1679	2077	1882.36	"Uqcr10"	"uc007hvb.1"	"cytochrome b-c1 complex subunit 9"	441
2905	355	319	327	150	219	212	171	218	188	"Zmat5"	"uc007hvd.1"	"zinc finger matrin-type protein 5"	789
2906	0	0	0	0	0	0	0	0	0	"Cabp7"	"uc007hve.1"	"calcium-binding protein 7"	699
2907	1291.79	993.01	975.58	634.92	705.43	614.94	588.4	467.99	571.21	"Nf2"	"uc007hvf.1"	"merlin"	4708
2908	0	0	0	0	0	0	0	0	0	"AK217604"	"uc007hvh.1"	"Mus musculus cDNA, clone:Y1G0105I17, strand:unspecified."	400
2909	77	81	89	39	43	29	16	20	27	"Nipsnap1"	"uc007hvk.1"	"protein NipSnap homolog 1"	1874
2910	538	403	421	256	280	290	324	276	274	"Thoc5"	"uc007hvl.1"	"THO complex subunit 5 homolog"	2235
2911	13	8	6	3	1	4	1	0	2	"Nefh"	"uc007hvm.1"	"neurofilament heavy polypeptide"	3992
2912	3351	2392	2537	731	957.01	812	757.99	585	816.76	"Ap1b1"	"uc007hvo.1"	"AP-1 complex subunit beta-1"	3942
2913	1279	807	857	361	421	437	791.98	588	583.98	"Gas2l1"	"uc007hvv.2"	"GAS2-like protein 1 isoform beta"	2586
2914	7	4	5	0	0	0	0	0	1	"Rasl10a"	"uc007hvs.1"	"ras-like protein family member 10A precursor"	1108
2915	3547	2887	2878	2888.99	3424.65	3408	2730	2527	2478	"Ewsr1"	"uc007hvw.1"	"RNA-binding protein EWS"	2400
2916	146	137	186	49	72	71	125	135	109	"Rhbdd3"	"uc007hwb.1"	"rhomboid domain-containing protein 3"	1821
2917	3	1	4	2	2	3	6	1	4	"Emid1"	"uc007hwg.1"	"EMI domain-containing protein 1 precursor"	1911
2918	382.85	305.89	275.9	1647.61	1826.07	1689.27	2030.1	1624.41	1668.26	"Kremen1"	"uc007hwh.1"	"kremen protein 1 precursor"	4907
2919	1.34	1.11	2.1	12.39	18.74	17.76	10.9	5.55	8.74	"kremen"	"uc007hwi.1"	"Mus musculus kremen mRNA for kringle-containing transmembrane protein, complete cds."	3236
2920	47.02	30.16	27.84	17.02	14.03	29.83	39.75	35	27.23	"Znrf3"	"uc007hwj.2"	"zinc/RING finger protein 3 precursor"	6306
2921	5140	3877	4418	2037.33	1938.12	1781	2774	2658	2444	"Xbp1"	"uc007hwm.1"	"X-box-binding protein 1"	1800
2922	402	270	319	108	81	86	185	141.98	155	"Ccdc117"	"uc007hwp.2"	"coiled-coil domain-containing protein 117"	3401
2923	0	2	1	0	0	1	0	0	0	"Ankrd36"	"uc007hwr.1"	"ankyrin repeat domain 36"	4491
2924	724.6	748.02	950	387.31	422	419	419.14	478.98	419.74	"Mrps24"	"uc007hwt.1"	"28S ribosomal protein S24, mitochondrial"	1007
2925	815	490	484	1442.97	1574	1443	1614	1203	1140.54	"Urgcp"	"uc007hwu.1"	"up-regulator of cell proliferation isoform 1"	5115
2926	203	155.12	194	122	127.9	112	165	142	147.99	"2210015D19Rik"	"uc007hxa.1"	"Mus musculus adult female placenta cDNA, RIKEN full-length enriched library, clone:1600028I17 product:unclassifiable, full insert sequence."	1840
2927	4003	3199	3525	4664	5284.01	5314.65	10251.99	9514	7910.02	"Dbnl"	"uc007hxd.2"	"drebrin-like protein isoform 1"	2369
2928	1	1	0	0	1	1	0	3	2	"Pgam2"	"uc007hxe.2"	"phosphoglycerate mutase 2"	906
2929	254	205	201	209	346	281	263	232	251	"Polm"	"uc007hxf.2"	"DNA-directed DNA/RNA polymerase mu"	2925
2930	19	20	17	20	41	32	21	27	27	"Aebp1"	"uc007hxg.2"	"adipocyte enhancer-binding protein 1 precursor"	4049
2931	606	585	593	202	223	209	186	198	185	"Pold2"	"uc007hxk.2"	"DNA polymerase delta subunit 2"	1610
2932	1	0	0	0	0	0	0	0	0	"Myl7"	"uc007hxl.1"	"myosin regulatory light chain 2, atrial isoform"	590
2933	0	2	0	0	0	0	1	3	0	"Gck"	"uc007hxn.1"	"glucokinase"	2245
2934	1746	1618	1673	1204.02	1239	1101	1492	1571	1280	"Ykt6"	"uc007hxp.2"	"synaptobrevin homolog YKT6"	2476
2935	2.11	1.99	4.21	1.13	4.98	2.01	0	3.1	3.36	"Camk2b"	"uc007hxt.2"	"calcium/calmodulin-dependent protein kinase type"	4010
2936	867.48	1762.62	2028.93	383.96	1681.42	1404.4	257.07	546.09	617.63	"BC019819"	"uc007hxv.1"	"Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830224N14 product:unclassifiable, full insert sequence."	2041
2937	576	496	498	278	355.21	275	341	307	317.98	"Nudcd3"	"uc007hxy.2"	"nudC domain-containing protein 3"	3962
2938	1363.82	1554.8	1993.27	1163.54	1193.64	1070.58	828.21	1250.09	1053.23	"Gm11968"	"uc011xrh.1"	"Mus musculus predicted gene 11968 (Gm11968), non-coding RNA."	824
2939	1	0	0	0	1	0	0	0	0	"Npc1l1"	"uc007hyb.2"	"Niemann-Pick C1-like protein 1 precursor"	4571
2940	575	548	583	284	315	304	204	167	210	"Ddx56"	"uc007hyc.1"	"probable ATP-dependent RNA helicase DDX56"	3287
2941	943	881	1050	463	492	432	658	719	662	"Tmed4"	"uc007hye.1"	"transmembrane emp24 domain-containing protein 4"	1625
2942	3803.97	2387.52	2294.6	2452.69	2478	2266.76	2405.45	1608.98	2095.58	"Ogdh"	"uc007hyf.1"	"2-oxoglutarate dehydrogenase, mitochondrial"	6614
2943	4117.25	2345.92	2147.45	1274	1802	1771.61	1436.94	994.49	1486.07	"Zmiz2"	"uc007hym.1"	"zinc finger MIZ domain-containing protein 2"	3957
2944	19457.98	22665.85	27428.97	16779	15714	14759.99	14529.9	18538.98	16042.43	"Ppia"	"uc007hyn.1"	"peptidyl-prolyl cis-trans isomerase A"	736
2945	721	716.02	906.01	295	365	339	110	178	217	"H2afv"	"uc007hyp.2"	"histone H2A.V"	1636
2946	141	137	124	139	162	137	124	99	119	"EF437385"	"uc007hyr.2"	"Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310015K15 product:hypothetical protein, full insert sequence."	1571
2947	444.01	311.02	284.07	475.29	608.67	600.67	519	306.81	327	"Purb"	"uc007hys.1"	"transcriptional activator protein Pur-beta"	1136
2948	4753	3453.99	3318	9055.02	10251	9904	5376	4293	4805	"Myo1g"	"uc007hyt.2"	"myosin-Ig"	3307
2949	113.95	186.68	213.4	102.02	128.68	134.94	70.23	112.03	121.55	"AK160548"	"uc007hyu.1"	"Mus musculus ES cells cDNA, RIKEN full-length enriched library, clone:2410044B02 product:similar to Hermansky-Pudlak syndrome protein variant (Fragment) [Rattus norvegicus], full insert sequence."	737
2950	947	837.99	886	599	701	715	677	719	692	"Ccm2"	"uc007hyv.2"	"malcavernin isoform 1"	1875
2951	0	0	0	0	2	0	0	0	0	"Nacad"	"uc007hyy.1"	"NAC-alpha domain-containing protein 1"	4893
2952	1021	852	856	477	566	520	354	274	318	"Tbrg4"	"uc007hza.2"	"protein TBRG4"	3139
2953	1	0	0	0	2	0	0	0	1	"Snora5c"	"uc011xrj.1"	"Mus musculus small nucleolar RNA, H/ACA box 5C (Snora5c), small nucleolar RNA."	101
2954	0	0	0	0	0	0	0	0	0	"Wap"	"uc007hzb.1"	"whey acidic protein precursor"	562
2955	0	0	0	0	0	0	0	0	0	"Gm11978"	"uc007hzc.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930404H23 product:similar to Ethanol induced 6 [Mus musculus], full insert sequence."	1306
2956	109	136	158	82	80	90	69	98	73	"Ramp3"	"uc007hzd.1"	"receptor activity-modifying protein 3 precursor"	1221
2957	0	0	0	0	0	0	0	0	0	"AK076664"	"uc007hze.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930408D11 product:unclassifiable, full insert sequence."	664
2958	1	0	0	0	0	0	0	0	0	"Adcy1"	"uc007hzf.1"	"adenylate cyclase type 1"	12258
2959	0	0	0	0	0	0	0	0	0	"Igfbp1"	"uc007hzh.2"	"insulin-like growth factor-binding protein 1"	1520
2960	1	0	1	3	1	0	1	1	2	"Igfbp3"	"uc007hzi.1"	"insulin-like growth factor-binding protein 3"	2440
2961	923.39	624.15	644.97	1441.94	1613.41	1345.71	1499.36	1085.05	1052.46	"Tns3"	"uc007hzk.1"	"tensin-3"	7483
2962	0	0	0	0	0	0	0	0	0	"AK140049"	"uc007hzm.1"	"Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230111E12 product:hypothetical protein, full insert sequence."	1756
2963	0	0	0	0	0	0	0	1	0	"Pkd1l1"	"uc007hzn.1"	"Mus musculus Pkd1l1 mRNA for polycystin-1L1, partial cds."	1005
2964	0	0	0	0	0	0	0	0	0	"Pkd1l1"	"uc007hzo.1"	"Mus musculus Pkd1l1 mRNA for polycystin-1L1, partial cds."	588
2965	153.99	146.13	151.51	97.34	156.22	120.35	145.9	137.54	120.08	"Hus1"	"uc007hzq.1"	"checkpoint protein HUS1"	4581
2966	1	0	1	0	0	0	0	0	0	"Sun3"	"uc007hzu.1"	"SUN domain-containing protein 3"	1205
2967	4	8	16	6	5	3	22	12	13	"Gm11992"	"uc007hzv.1"	"hypothetical protein LOC626870"	2400
2968	840	1084	1363.89	3271	4154	3645	4701	6162	5128.76	"Upp1"	"uc007hzx.2"	"uridine phosphorylase 1"	1256
2969	57	41	53	50	58	34	45	36	27	"Abca13"	"uc007iaa.1"	"ATP-binding cassette sub-family A member 13"	16011
2970	0	0	0	0	0	0	0	0	0	"DQ556351"	"uc007iab.1"	"DQ556351"	30
2971	0	0	0	0	0	0	0	0	0	"Vwc2"	"uc007iac.1"	"brorin precursor"	3578
2972	9	7	5	2	4	3	4	1	5	"Zpbp"	"uc007iae.2"	"zona pellucida-binding protein 1 isoform 1"	3845
2973	0	1	2	1	0	0	0	0	2	"4930415F15Rik"	"uc007iaf.1"	"hypothetical protein LOC73862"	753
2974	0	0	1	0	0	0	1	2	2	"AK041795"	"uc007iag.1"	"Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630038I09 product:unclassifiable, full insert sequence."	972
2975	2.81	1	0	1	3.24	2.37	9	2.56	2	"4930512M02Rik"	"uc007iah.1"	"SubName: Full=Novel protein (4930512M02Rik);"	729
2976	1201.95	766	847	1762	1669	1581	2859	1950	1713	"Ikzf1"	"uc007iak.1"	"DNA-binding protein Ikaros isoform a"	5163
2977	330	257	280	57.01	65.19	52	74.98	81	99.01	"Fignl1"	"uc011xro.1"	"fidgetin-like protein 1"	2844
2978	0	0	0	1	0	0	1	2	2	"Ddc"	"uc007iaw.2"	"aromatic-L-amino-acid decarboxylase"	1956
2979	0	0	1	0	0	1	0	0	0	"AK006690"	"uc007iay.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700042O10 product:unclassifiable, full insert sequence."	1074
2980	4	7	8	2	8	2	0	1	3	"Grb10"	"uc007iba.2"	"growth factor receptor-bound protein 10 isoform"	5089
2981	0	0	0	0	2	0	0	0	0	"Cobl"	"uc007ibd.2"	"protein cordon-bleu"	5618
2982	0	0	0	0	0	0	0	0	0	"AK040873"	"uc007ibg.1"	"Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530032E18 product:unclassifiable, full insert sequence."	1803
2983	0	0	0	0	0	0	0	0	0	"AB351165"	"uc011xrr.1"	"AB351165"	27
2984	0	0	0	0	0	0	0	0	0	"AK006701"	"uc007ibh.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700046C09 product:unclassifiable, full insert sequence."	520
2985	0	0	0	0	0	0	0	0	0	"Pom121l12"	"uc007ibi.2"	"POM121 membrane glycoprotein-like 12"	1077
2986	0	0	0	0	0	0	0	0	0	"DQ555424"	"uc007ibj.1"	"DQ555424"	30
2987	2	2	2	0	0	1	1	1	0	"Vstm2a"	"uc007ibk.2"	"V-set and transmembrane domain-containing"	3629
2988	1121.97	1367.98	1921.99	1249.98	1222	1025.99	1230.99	1630.99	1348.97	"Sec61g"	"uc007ibm.2"	"protein transport protein Sec61 subunit gamma"	754
2989	0	0	0	0	0	0	0	0	0	"AK206940"	"uc011xrt.1"	"Mus musculus cDNA, clone:Y1G0110M14, strand:minus, reference:ENSEMBL:Mouse-Transcript-ENST:ENSMUST00000051356, based on BLAT search."	376
2990	6	4	3	15	8	9	10	8	6	"Egfr"	"uc007ibo.1"	"epidermal growth factor receptor isoform 1"	5965
2991	12	9	10	3	3	4	1	3	3	"2810442I21Rik"	"uc011xru.1"	"Mus musculus 12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130013D23 product:hypothetical protein, full insert sequence."	3137
2992	24	21	24	6	4	5	6	7	6	"Fbxo48"	"uc007ibu.1"	"F-box only protein 48"	2117
2993	4727	4382	4420.06	42677.24	34332	28577.07	20444.9	16333.98	15093.02	"Plek"	"uc007ibv.2"	"pleckstrin"	4117
2994	0	0	0	0	0	1	0	1	0	"Cnrip1"	"uc007iby.1"	"CB1 cannabinoid receptor-interacting protein 1"	1539
2995	1554.07	1354	1426.11	1135.02	999	854	923	819	845.97	"Ppp3r1"	"uc007ica.1"	"calcineurin subunit B type 1"	2829
2996	833	834	880	555	469	464	389	360	403	"Pno1"	"uc007icc.1"	"RNA-binding protein PNO1"	1563
2997	409.07	411.32	375.67	3048.76	3038.18	2531.35	1493.63	1406.83	1547.3	"Wdr92"	"uc007icd.1"	"WD repeat-containing protein 92"	3431
2998	311	412	450	252	241	202	242	279	240	"C1d"	"uc007ice.1"	"nuclear nucleic acid-binding protein C1D"	2957
2999	219	177	215	55	68	55	89	77	97	"Etaa1"	"uc007icf.2"	"ewing's tumor-associated antigen 1 homolog"	4192
3000	2	1	6	0	4	2	1	0	1	"AK013680"	"uc007ici.1"	"Mus musculus adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900053O20 product:unclassifiable, full insert sequence."	550
3001	0	0	0	0	0	0	0	0	0	"AK018427"	"uc007ick.1"	"Mus musculus 16 days embryo lung cDNA, RIKEN full-length enriched library, clone:8430419K02 product:hypothetical protein, full insert sequence."	1213
3002	21.87	17.01	18.05	16.04	36.39	12.03	11.05	10.27	12.15	"Meis1"	"uc007icl.2"	"homeobox protein Meis1 isoform A"	3346
3003	0	0	0	0	0	0	0	0	0	"Gm16140"	"uc011xrv.1"	"SubName: Full=Novel protein;"	1060
3004	0	0	0	1	0	0	0	0	0	"AK144295"	"uc007icp.1"	"Mus musculus 21 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:G630012A18 product:unclassifiable, full insert sequence."	718
3005	210	164	158	51	86	61	106	70	74	"Spred2"	"uc007icr.1"	"sprouty-related, EVH1 domain-containing protein"	2872
3006	4753.04	4741.26	4942.02	6428.03	5902.84	4806.04	7598.55	6512.3	6129.11	"Actr2"	"uc011xrw.1"	"actin-related protein 2"	3669
3007	1874.18	1749	1815.23	2362.2	1958.97	1596	2663.64	2469.9	2216.12	"Rab1"	"uc007icv.1"	"ras-related protein Rab-1A"	2657
3008	237	178	168.27	50	61	65	35	38	40	"Cep68"	"uc007icw.1"	"centrosomal protein of 68 kDa"	4810
3009	19	23	35	3	9	1	7	4	5	"Slc1a4"	"uc007idb.2"	"neutral amino acid transporter A"	3926
3010	11.3	19.38	22.45	12.93	4.46	12.29	10.38	7.65	5.29	"Gm12034"	"uc011xrx.1"	"40S ribosomal protein S17"	466
3011	588	469	441	774	678	614.99	404	330	372	"Sertad2"	"uc007ide.1"	"SERTA domain-containing protein 2"	5519
3012	758	616	594	1728	1661	1472	3258	2950.95	2406	"Aftph"	"uc007idh.1"	"aftiphilin"	3892
3013	18	20	24	10	25	7	10	9	8	"1110067D22Rik"	"uc007idj.2"	"galectin-related protein A"	3635
3014	268.99	216	228	4081.93	3967	3438	2306	1825	1514.17	"Peli1"	"uc007idl.1"	"protein pellino homolog 1"	3485
3015	501	487	517	1159	1042.12	875	1309	1134	969	"Vps54"	"uc007ido.2"	"vacuolar protein sorting-associated protein 54"	4712
3016	1	5	2	4	24	16	4	8	17	"AK162774"	"uc007idq.1"	"Mus musculus 10 days neonate medulla oblongata cDNA, RIKEN full-length enriched library, clone:B830008J18 product:unclassifiable, full insert sequence."	3899
3017	1162	1221	1488	947	788	655	1068	931	838	"Ugp2"	"uc007ids.2"	"UTP--glucose-1-phosphate uridylyltransferase"	3081
3018	0	0	0	0	0	0	0	0	0	"Mir1933"	"uc011xrz.1"	"Mus musculus microRNA 1933 (Mir1933), microRNA."	88
3019	1.17	5.68	1.28	1.87	0.98	3.68	3.03	1.27	0	"AK038605"	"uc007idu.1"	"Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230049N09 product:unclassifiable, full insert sequence."	2788
3020	0	0	0	0	0	0	0	0	0	"4932414J04Rik"	"uc011xsa.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4932414J04 product:hypothetical Tyrosine protein kinase/Serine/Threonine protein kinase/Eukaryotic protein kinase/TonB-dependent receptor protein containing protein, full insert sequence."	3061
3021	2706	2784	3155	1803	1667	1522	1414	1478	1360	"Mdh1"	"uc007idv.2"	"malate dehydrogenase, cytoplasmic"	1958
3022	37.01	24	37	12	10	10	13	13	12	"AV249152"	"uc007idx.1"	"WD repeat-containing protein C2orf86 homolog"	2443
3023	1	0	0	0	0	0	0	0	0	"Otx1"	"uc007idy.1"	"homeobox protein OTX1"	2825
3024	297.09	247	256.94	73	102	92	91	81	120	"Ehbp1"	"uc007iea.1"	"EH domain-binding protein 1"	4857
3025	19	20	25	7	8	5	13	23	5	"Tmem17"	"uc007iee.1"	"transmembrane protein 17"	1370
3026	0	0	0	1	0	0	0	0	0	"AK087392"	"uc007ief.1"	"Mus musculus 0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130006B18 product:unclassifiable, full insert sequence."	933
3027	0	0	0	0	0	0	0	0	1	"AK078949"	"uc007ieg.1"	"Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130226P21 product:unclassifiable, full insert sequence."	793
3028	1095	1275	1346	4443	3537	3041	2769	2449	2460	"B3gnt2"	"uc007iei.2"	"UDP-GlcNAc:betaGal"	2576
3029	726	888	1081	591	589	578	656	755	645	"Commd1"	"uc007iel.1"	"COMM domain-containing protein 1"	818
3030	204	161	174	93	110	81	155	154	155	"Zrsr1"	"uc007iem.1"	"U2 small nuclear ribonucleoprotein auxiliary"	2880
3031	3060	2725	2991	2156	1961	1782	1971	1706	1638	"Cct4"	"uc007ieo.1"	"T-complex protein 1 subunit delta"	1966
3032	35	33.87	34	3	2.75	1	2	1	2	"Fam161a"	"uc007ier.2"	"protein FAM161a"	1937
3033	960	866	966	468	459	319	843	669	635	"Xpo1"	"uc007iet.1"	"exportin-1"	5144
3034	785	563	654	608	594.83	466.47	603	408	435.99	"Usp34"	"uc007ieu.2"	"ubiquitin carboxyl-terminal hydrolase 34"	12122
3035	272	245	275	161	154	146	305	203	174	"Ahsa2"	"uc007ifb.1"	"activator of 90 kDa heat shock protein ATPase"	3604
3036	0	0	0	0	0	0	0	0	0	"AK132720"	"uc007ifd.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700030C12 product:unclassifiable, full insert sequence."	886
3037	0	1	0	0	0	0	0	0	0	"1700093K21Rik"	"uc007ife.1"	"hypothetical protein LOC67358"	1002
3038	0	1.13	0	1.04	0	0	0	0	1.04	"LOC100134990"	"uc011xse.1"	"Mus musculus selenoprotein K pseudogene, mRNA (cDNA clone IMAGE:3483818)."	783
3039	342	328	369	248	206	169	193	180	172	"0610010F05Rik"	"uc007ifh.1"	"hypothetical protein LOC71675"	4140
3040	174.05	185.51	227.99	172.83	150.82	139.86	251.69	269.14	192.2	"Pex13"	"uc007ifj.1"	"peroxisomal membrane protein PEX13"	4122
3041	170	171	184	149	154	109	217	224	174	"Pus10"	"uc007ifk.1"	"putative tRNA pseudouridine synthase Pus10"	3187
3042	153	131	136	1065	998	836	722	517	550	"Rel"	"uc007ifo.1"	"proto-oncogene c-Rel"	2584
3043	149.12	144.96	138.22	149.44	174.23	154.88	166	145.77	132.39	"Papolg"	"uc007ifp.2"	"poly(A) polymerase gamma"	3764
3044	8	4	13	9	9	10	3	1	8	"Bcl11a"	"uc007ifu.2"	"B-cell lymphoma/leukemia 11A isoform 1"	3425
3045	0	0	0	0	0	0	0	0	0	"AK019722"	"uc007ify.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930455A09 product:unclassifiable, full insert sequence."	536
3046	0	1	0	1	0	0	0	0	0	"AK148130"	"uc007ifz.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4933430M04 product:unclassifiable, full insert sequence."	2889
3047	0	0	0	0	0	0	0	0	0	"Gm10466"	"uc011xsh.1"	"Mus musculus in vitro fertilized eggs cDNA, RIKEN full-length enriched library, clone:7420419J09 product:hypothetical protein, full insert sequence."	2466
3048	0	0	0	0	0	0	0	0	0	"AK016948"	"uc007iga.1"	"Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4933427E13 product:hypothetical protein, full insert sequence."	1488
3049	0	0	0	0	0	0	0	0	0	"5730522E02Rik"	"uc011xsi.1"	"Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730522E02 product:unclassifiable, full insert sequence."	1520
3050	46	56	56	27	37	20	23	19	21	"Fancl"	"uc007ige.1"	"E3 ubiquitin-protein ligase FANCL"	1775
3051	276	183	202	188	230	203	361	371	307.77	"Vrk2"	"uc007igf.2"	"serine/threonine-protein kinase VRK2"	1891
3052	65.62	47.87	76.61	39.17	16.11	21.93	43.35	20.23	33.35	"Gapdh"	"uc007igj.1"	"glyceraldehyde-3-phosphate dehydrogenase"	1646
3053	105	69.26	66.57	14.79	22.04	9.01	28	23.05	26.03	"Ccdc85a"	"uc007igk.2"	"coiled-coil domain-containing protein 85A"	5424
3054	0	0	0	0	0	0	0	0	0	"Mir216b"	"uc011xsl.1"	"Mus musculus microRNA 216b (Mir216b), microRNA."	86
3055	0	0	0	0	0	0	0	0	0	"Mir216a"	"uc011xsm.1"	"Mus musculus microRNA 216a (Mir216a), microRNA."	72
3056	0	0	0	0	0	0	0	0	0	"Mir217"	"uc011xsn.1"	"Mus musculus microRNA 217 (Mir217), microRNA."	108
3057	0	0	0	0	1	0	1	0	2	"Efemp1"	"uc007ign.2"	"EGF-containing fibulin-like extracellular matrix"	2036
3058	359	394	428	975	837	804	1193	1017	767	"Pnpt1"	"uc007igp.1"	"polyribonucleotide nucleotidyltransferase 1,"	2704
3059	12	19	25	6	5	4	6	8	9	"A630052C17Rik"	"uc011xsp.1"	"SubName: Full=Putative uncharacterized protein;"	1781
3060	907	734	756	604	590	531	605	541	522	"Smek2"	"uc007igs.2"	"serine/threonine-protein phosphatase 4"	5108
3061	197	248	252	112	95	97	113	140	113	"Ccdc104"	"uc007igu.1"	"coiled-coil domain-containing protein 104"	1523
3062	1307	1028	1077.91	896	949	815	930	874	978	"Ccdc88a"	"uc007igw.1"	"girdin"	9262
3063	173.79	155.07	202.52	46.38	35.22	51.16	53.12	61.16	62.73	"Prorsd1"	"uc007igz.2"	"prdX deacylase domain-containing protein 1"	2037
3064	265.48	237.62	249.26	67.26	102.36	76.4	172.38	151.82	150.62	"Mtif2"	"uc007ihd.1"	"translation initiation factor IF-2,"	2748
3065	7732	9869.21	12626.13	6892.86	6867.78	6895.88	5309.06	7908.01	6180.81	"Rps27a"	"uc007ihg.1"	"ubiquitin-40S ribosomal protein S27a"	726
3066	1	0	1	1	0	0	0	0	0	"1700034F02Rik"	"uc007ihi.2"	"hypothetical protein LOC73324 isoform 1"	2185
3067	0	0	0	0	0	0	0	0	0	"AK084560"	"uc007ihj.1"	"Mus musculus 13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330015C02 product:unclassifiable, full insert sequence."	599
3068	3806	3379	3970.94	4158	3772.98	3254	4840	4299	3652.17	"Rtn4"	"uc007ihk.2"	"reticulon-4 isoform A"	6165
3069	119	78	84	77	112	115	120	115	118	"Eml6"	"uc007ihq.1"	"echinoderm microtubule-associated protein-like"	8080
3070	2.56	0	2.51	0	4.49	3.97	4.09	3.77	2.5	"4931440F15Rik"	"uc007ihr.1"	"protein fem-1 homolog A-B"	3274
3071	1723	1019	1126	611	920	745	1082	808	998	"Spnb2"	"uc007ihs.1"	"spectrin beta chain, brain 1 isoform 1"	8239
3072	0	0	0	0	0	0	0	0	0	"4930505A04Rik"	"uc007ihv.1"	"hypothetical protein LOC75087"	925
3073	7	8	13	7	9	6	17	12	17	"Acyp2"	"uc007ihw.1"	"acylphosphatase-2"	671
3074	842	700	853	980	928	728	1532	1250	1072	"Psme4"	"uc007ihx.1"	"proteasome activator complex subunit 4"	6442
3075	12.87	4.82	4.12	13.98	20.86	14.68	8.76	7.5	9.8	"mKIAA0077"	"uc011xsu.1"	"Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430032M03 product:unclassifiable, full insert sequence."	1739
3076	0	0	0	0	0	0	0	0	1	"Gpr75"	"uc011xsv.1"	"probable G-protein coupled receptor 75"	1623
3077	391	329	394	291	288	236	421	444	412	"Erlec1"	"uc007iic.1"	"endoplasmic reticulum lectin 1 precursor"	3501
3078	122	132	153	78	49	53	199	197	142	"Asb3"	"uc007iif.1"	"ankyrin repeat and SOCS box protein 3"	3225
3079	41	57	57	172	135	96	252	220	190	"Chac2"	"uc007iih.1"	"cation transport regulator-like protein 2"	1328
3080	20	23	19	5	15	4	14	24	8	"Stc2"	"uc007iik.1"	"stanniocalcin-2 precursor"	1793
